[2022-09-06 22:42:47.100] [39mTRACE[0;39m o.s.c.i.s.SpringFactoriesLoader [main] - Loaded [org.springframework.boot.logging.LoggingSystemFactory] names: [org.springframework.boot.logging.logback.LogbackLoggingSystem.Factory, org.springframework.boot.logging.log4j2.Log4J2LoggingSystem.Factory, org.springframework.boot.logging.java.JavaLoggingSystem.Factory] 
[2022-09-06 22:42:47.385] [39mTRACE[0;39m o.s.b.c.c.ConfigDataEnvironmentContributors [main] - Processing imports [optional:classpath:/;optional:classpath:/config/] 
[2022-09-06 22:42:47.385] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/application.yaml 
[2022-09-06 22:42:47.385] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/application.yml 
[2022-09-06 22:42:47.385] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/application.xml 
[2022-09-06 22:42:47.385] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/application.properties 
[2022-09-06 22:42:47.385] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/config/application.yaml 
[2022-09-06 22:42:47.385] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/config/application.yml 
[2022-09-06 22:42:47.385] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/config/application.xml 
[2022-09-06 22:42:47.385] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/config/application.properties 
[2022-09-06 22:42:47.385] [39mTRACE[0;39m o.s.b.c.c.ConfigDataEnvironmentContributors [main] - Nothing imported 
[2022-09-06 22:42:47.385] [39mTRACE[0;39m o.s.b.c.c.ConfigDataEnvironmentContributors [main] - Processed imports for of 2 contributors 
[2022-09-06 22:42:47.385] [39mTRACE[0;39m o.s.b.c.config.ConfigDataEnvironment [main] - Creating config data activation context from initial contributions 
[2022-09-06 22:42:47.386] [39mTRACE[0;39m o.s.b.c.config.ConfigDataEnvironment [main] - Processing config data environment contributors with initial activation context 
[2022-09-06 22:42:47.387] [39mTRACE[0;39m o.s.b.c.c.ConfigDataEnvironmentContributors [main] - Processing imports for phase BEFORE_PROFILE_ACTIVATION. [ConfigDataActivationContext@55f3c410 cloudPlatform = [null], profiles = [null]] 
[2022-09-06 22:42:47.387] [39mTRACE[0;39m o.s.b.c.c.ConfigDataEnvironmentContributors [main] - Processed imports for of 0 contributors 
[2022-09-06 22:42:47.387] [39mTRACE[0;39m o.s.b.c.config.ConfigDataEnvironment [main] - Deducing profiles from current config data environment contributors 
[2022-09-06 22:42:47.387] [39mTRACE[0;39m o.s.b.c.config.ConfigDataEnvironment [main] - Processing config data environment contributors with profile activation context 
[2022-09-06 22:42:47.387] [39mTRACE[0;39m o.s.b.c.c.ConfigDataEnvironmentContributors [main] - Processing imports for phase AFTER_PROFILE_ACTIVATION. [ConfigDataActivationContext@11acdc30 cloudPlatform = [null], profiles = [Profiles@770d4269 active = '[]', default = '[default]', accepted = '[default]']] 
[2022-09-06 22:42:47.387] [39mTRACE[0;39m o.s.b.c.c.ConfigDataEnvironmentContributors [main] - Processing imports [optional:file:./;optional:file:./config/;optional:file:./config/*/] 
[2022-09-06 22:42:47.387] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource file:./application.yaml 
[2022-09-06 22:42:47.387] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource file:./application.yml 
[2022-09-06 22:42:47.387] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource file:./application.xml 
[2022-09-06 22:42:47.387] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource file:./application.properties 
[2022-09-06 22:42:47.387] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource file:./config/application.yaml 
[2022-09-06 22:42:47.387] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource file:./config/application.yml 
[2022-09-06 22:42:47.387] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource file:./config/application.xml 
[2022-09-06 22:42:47.387] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource file:./config/application.properties 
[2022-09-06 22:42:47.387] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource file:./application-default.yaml 
[2022-09-06 22:42:47.387] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource file:./application-default.yml 
[2022-09-06 22:42:47.387] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource file:./application-default.xml 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource file:./application-default.properties 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource file:./config/application-default.yaml 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource file:./config/application-default.yml 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource file:./config/application-default.xml 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource file:./config/application-default.properties 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataEnvironmentContributors [main] - Nothing imported 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataEnvironmentContributors [main] - Processing imports [optional:classpath:/;optional:classpath:/config/] 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/application.yaml 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/application.yml 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/application.xml 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/application.properties 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/config/application.yaml 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/config/application.yml 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/config/application.xml 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/config/application.properties 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/application-default.yaml 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/application-default.yml 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/application-default.xml 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/application-default.properties 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/config/application-default.yaml 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/config/application-default.yml 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/config/application-default.xml 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataLocationResolver [main] - Skipping missing resource classpath:/config/application-default.properties 
[2022-09-06 22:42:47.388] [39mTRACE[0;39m o.s.b.c.c.ConfigDataEnvironmentContributors [main] - Nothing imported 
[2022-09-06 22:42:47.389] [39mTRACE[0;39m o.s.b.c.c.ConfigDataEnvironmentContributors [main] - Processed imports for of 2 contributors 
[2022-09-06 22:42:47.389] [39mTRACE[0;39m o.s.b.c.config.ConfigDataEnvironment [main] - Applying config data environment contributions 
[2022-09-06 22:42:47.389] [39mTRACE[0;39m o.s.b.c.config.ConfigDataEnvironment [main] - Setting default profiles: [default] 
[2022-09-06 22:42:47.389] [39mTRACE[0;39m o.s.b.c.config.ConfigDataEnvironment [main] - Setting active profiles: [] 
[2022-09-06 22:42:47.390] [39mTRACE[0;39m o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext [main] - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@fd8294b, started on Tue Sep 06 22:42:47 PDT 2022 
[2022-09-06 22:42:47.396] [39mTRACE[0;39m o.s.b.f.s.DefaultListableBeanFactory [main] - Registering scope 'request' with implementation [org.springframework.web.context.request.RequestScope@7a138fc5] 
[2022-09-06 22:42:47.396] [39mTRACE[0;39m o.s.b.f.s.DefaultListableBeanFactory [main] - Registering scope 'session' with implementation [org.springframework.web.context.request.SessionScope@2c95ac9e] 
[2022-09-06 22:42:47.404] [39mDEBUG[0;39m o.s.b.f.s.DefaultListableBeanFactory [main] - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' 
[2022-09-06 22:42:47.404] [39mTRACE[0;39m o.s.b.f.s.DefaultListableBeanFactory [main] - Creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' 
[2022-09-06 22:42:47.414] [39mDEBUG[0;39m o.s.b.f.s.DefaultListableBeanFactory [main] - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory' 
[2022-09-06 22:42:47.414] [39mTRACE[0;39m o.s.b.f.s.DefaultListableBeanFactory [main] - Creating instance of bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory' 
[2022-09-06 22:42:47.415] [39mTRACE[0;39m o.s.b.f.s.DefaultListableBeanFactory [main] - Finished creating instance of bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory' 
[2022-09-06 22:42:47.417] [39mTRACE[0;39m o.s.c.i.s.SpringFactoriesLoader [main] - Loaded [org.springframework.beans.BeanInfoFactory] names: [org.springframework.beans.ExtendedBeanInfoFactory] 
[2022-09-06 22:42:47.417] [39mTRACE[0;39m o.s.beans.CachedIntrospectionResults [main] - Getting BeanInfo for class [org.springframework.context.annotation.ConfigurationClassPostProcessor] 
[2022-09-06 22:42:47.422] [39mTRACE[0;39m o.s.beans.CachedIntrospectionResults [main] - Caching PropertyDescriptors for class [org.springframework.context.annotation.ConfigurationClassPostProcessor] 
[2022-09-06 22:42:47.422] [39mTRACE[0;39m o.s.beans.CachedIntrospectionResults [main] - Found bean property 'applicationStartup' of type [org.springframework.core.metrics.ApplicationStartup] 
[2022-09-06 22:42:47.424] [39mTRACE[0;39m o.s.beans.CachedIntrospectionResults [main] - Found bean property 'beanClassLoader' of type [java.lang.ClassLoader] 
[2022-09-06 22:42:47.424] [39mTRACE[0;39m o.s.beans.CachedIntrospectionResults [main] - Found bean property 'beanNameGenerator' of type [org.springframework.beans.factory.support.BeanNameGenerator] 
[2022-09-06 22:42:47.424] [39mTRACE[0;39m o.s.beans.CachedIntrospectionResults [main] - Found bean property 'class' of type [java.lang.Class] 
[2022-09-06 22:42:47.426] [39mTRACE[0;39m o.s.beans.CachedIntrospectionResults [main] - Found bean property 'environment' of type [org.springframework.core.env.Environment] 
[2022-09-06 22:42:47.426] [39mTRACE[0;39m o.s.beans.CachedIntrospectionResults [main] - Found bean property 'metadataReaderFactory' of type [org.springframework.core.type.classreading.MetadataReaderFactory] 
[2022-09-06 22:42:47.426] [39mTRACE[0;39m o.s.beans.CachedIntrospectionResults [main] - Found bean property 'order' of type [int] 
[2022-09-06 22:42:47.426] [39mTRACE[0;39m o.s.beans.CachedIntrospectionResults [main] - Found bean property 'problemReporter' of type [org.springframework.beans.factory.parsing.ProblemReporter] 
[2022-09-06 22:42:47.426] [39mTRACE[0;39m o.s.beans.CachedIntrospectionResults [main] - Found bean property 'resourceLoader' of type [org.springframework.core.io.ResourceLoader] 
[2022-09-06 22:42:47.426] [39mTRACE[0;39m o.s.beans.CachedIntrospectionResults [main] - Found bean property 'sourceExtractor' of type [org.springframework.beans.factory.parsing.SourceExtractor] 
[2022-09-06 22:42:47.432] [39mTRACE[0;39m o.s.b.f.s.DefaultListableBeanFactory [main] - Finished creating instance of bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor' 
[2022-09-06 22:42:47.440] [39mTRACE[0;39m o.s.c.a.ClassPathBeanDefinitionScanner [main] - JSR-250 'javax.annotation.ManagedBean' found and supported for component scanning 
[2022-09-06 22:42:47.442] [39mTRACE[0;39m o.s.c.i.s.PathMatchingResourcePatternResolver [main] - Resolved classpath location [org/example/] to resources [URL [file:/C:/Users/seost/repositories/WebSockets/spring-websocket/build/classes/java/main/org/example/]] 
[2022-09-06 22:42:47.442] [39mTRACE[0;39m o.s.c.i.s.PathMatchingResourcePatternResolver [main] - Looking for matching resources in directory tree [C:\Users\seost\repositories\WebSockets\spring-websocket\build\classes\java\main\org\example] 
[2022-09-06 22:42:47.443] [39mTRACE[0;39m o.s.c.i.s.PathMatchingResourcePatternResolver [main] - Searching directory [C:\Users\seost\repositories\WebSockets\spring-websocket\build\classes\java\main\org\example] for files matching pattern [C:/Users/seost/repositories/WebSockets/spring-websocket/build/classes/java/main/org/example/**/*.class] 
[2022-09-06 22:42:47.444] [39mTRACE[0;39m o.s.c.i.s.PathMatchingResourcePatternResolver [main] - Searching directory [C:\Users\seost\repositories\WebSockets\spring-websocket\build\classes\java\main\org\example\rawWebsocket] for files matching pattern [C:/Users/seost/repositories/WebSockets/spring-websocket/build/classes/java/main/org/example/**/*.class] 
[2022-09-06 22:42:47.445] [39mTRACE[0;39m o.s.c.i.s.PathMatchingResourcePatternResolver [main] - Resolved location pattern [classpath*:org/example/**/*.class] to resources [file [C:\Users\seost\repositories\WebSockets\spring-websocket\build\classes\java\main\org\example\SpringBootApp.class], file [C:\Users\seost\repositories\WebSockets\spring-websocket\build\classes\java\main\org\example\rawWebsocket\ServerWebSocketConfig.class], file [C:\Users\seost\repositories\WebSockets\spring-websocket\build\classes\java\main\org\example\rawWebsocket\ServerWebSocketHandler.class]] 
[2022-09-06 22:42:47.446] [39mTRACE[0;39m o.s.c.a.ClassPathBeanDefinitionScanner [main] - Scanning file [C:\Users\seost\repositories\WebSockets\spring-websocket\build\classes\java\main\org\example\SpringBootApp.class] 
[2022-09-06 22:42:47.453] [39mTRACE[0;39m o.s.c.a.ClassPathBeanDefinitionScanner [main] - Ignored because not matching any filter: file [C:\Users\seost\repositories\WebSockets\spring-websocket\build\classes\java\main\org\example\SpringBootApp.class] 
[2022-09-06 22:42:47.453] [39mTRACE[0;39m o.s.c.a.ClassPathBeanDefinitionScanner [main] - Scanning file [C:\Users\seost\repositories\WebSockets\spring-websocket\build\classes\java\main\org\example\rawWebsocket\ServerWebSocketConfig.class] 
[2022-09-06 22:42:47.459] [39mDEBUG[0;39m o.s.c.a.ClassPathBeanDefinitionScanner [main] - Identified candidate component class: file [C:\Users\seost\repositories\WebSockets\spring-websocket\build\classes\java\main\org\example\rawWebsocket\ServerWebSocketConfig.class] 
[2022-09-06 22:42:47.459] [39mTRACE[0;39m o.s.c.a.ClassPathBeanDefinitionScanner [main] - Scanning file [C:\Users\seost\repositories\WebSockets\spring-websocket\build\classes\java\main\org\example\rawWebsocket\ServerWebSocketHandler.class] 
[2022-09-06 22:42:47.460] [39mTRACE[0;39m o.s.c.a.ClassPathBeanDefinitionScanner [main] - Ignored because not matching any filter: file [C:\Users\seost\repositories\WebSockets\spring-websocket\build\classes\java\main\org\example\rawWebsocket\ServerWebSocketHandler.class] 
[2022-09-06 22:42:47.470] [39mTRACE[0;39m o.s.c.i.s.SpringFactoriesLoader [main] - Loaded [org.springframework.boot.autoconfigure.AutoConfigurationImportFilter] names: [org.springframework.boot.autoconfigure.condition.OnBeanCondition, org.springframework.boot.autoconfigure.condition.OnClassCondition, org.springframework.boot.autoconfigure.condition.OnWebApplicationCondition] 
[2022-09-06 22:42:47.479] [39mTRACE[0;39m o.s.b.f.s.DefaultListableBeanFactory [main] - Returning cached instance of singleton bean 'autoConfigurationReport' 
[2022-09-06 22:42:47.480] [39mTRACE[0;39m o.s.b.f.s.DefaultListableBeanFactory [main] - Returning cached instance of singleton bean 'autoConfigurationReport' 
[2022-09-06 22:42:47.480] [39mTRACE[0;39m o.s.b.f.s.DefaultListableBeanFactory [main] - Returning cached instance of singleton bean 'autoConfigurationReport' 
[2022-09-06 22:42:47.492] [39mTRACE[0;39m o.s.b.f.s.DefaultListableBeanFactory [main] - Returning cached instance of singleton bean 'autoConfigurationReport' 
[2022-09-06 22:42:47.508] [39mTRACE[0;39m o.s.b.a.condition.OnClassCondition [main] - Condition OnClassCondition on org.springframework.boot.autoconfigure.amqp.RabbitAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.rabbitmq.client.Channel' 
[2022-09-06 22:42:47.508] [39mTRACE[0;39m o.s.b.a.condition.OnClassCondition [main] - Condition OnClassCondition on org.springframework.boot.autoconfigure.batch.BatchAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'org.springframework.batch.core.launch.JobLauncher' 
[2022-09-06 22:42:47.508] [39mTRACE[0;39m o.s.b.a.condition.OnClassCondition [main] - Condition OnClassCondition on org.springframework.boot.autoconfigure.cassandra.CassandraAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.datastax.oss.driver.api.core.CqlSession' 
[2022-09-06 22:42:47.508] [39mTRACE[0;39m o.s.b.a.condition.OnClassCondition [main] - Condition OnClassCondition on org.springframework.boot.autoconfigure.couchbase.CouchbaseAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.couchbase.client.java.Cluster' 
[2022-09-06 22:42:47.508] [39mTRACE[0;39m o.s.b.a.condition.OnClassCondition [main] - Condition OnClassCondition on org.springframework.boot.autoconfigure.dao.PersistenceExceptionTranslationAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'org.springframework.dao.annotation.PersistenceExceptionTranslationPostProcessor' 
[2022-09-06 22:42:47.508] [39mTRACE[0;39m o.s.b.a.condition.OnClassCondition [main] - Condition OnClassCondition on org.springframework.boot.autoconfigure.data.cassandra.CassandraDataAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.datastax.oss.driver.api.core.CqlSession' 
[2022-09-06 22:42:47.508] [39mTRACE[0;39m o.s.b.a.condition.OnClassCondition [main] - Condition OnClassCondition on org.springframework.boot.autoconfigure.data.cassandra.CassandraReactiveDataAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.datastax.oss.driver.api.core.CqlSession' 
[2022-09-06 22:42:47.509] [39mTRACE[0;39m o.s.b.a.condition.OnClassCondition [main] - Condition OnClassCondition on org.springframework.boot.autoconfigure.data.cassandra.CassandraReactiveRepositoriesAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'org.springframework.data.cassandra.ReactiveSession' 
[2022-09-06 22:42:47.509] [39mTRACE[0;39m o.s.b.a.condition.OnClassCondition [main] - Condition OnClassCondition on org.springframework.boot.autoconfigure.data.cassandra.CassandraRepositoriesAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.datastax.oss.driver.api.core.CqlSession' 
[2022-09-06 22:42:47.509] [39mTRACE[0;39m o.s.b.a.condition.OnClassCondition [main] - Condition OnClassCondition on org.springframework.boot.autoconfigure.data.couchbase.CouchbaseDataAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.couchbase.client.java.Bucket' 
[2022-09-06 22:42:47.509] [39mTRACE[0;39m o.s.b.a.condition.OnClassCondition [main] - Condition OnClassCondition on org.springframework.boot.autoconfigure.data.couchbase.CouchbaseReactiveDataAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.couchbase.client.java.Cluster' 
[2022-09-06 22:42:47.509] [39mTRACE[0;39m o.s.b.a.condition.OnClassCondition [main] - Condition OnClassCondition on org.springframework.boot.autoconfigure.data.couchbase.CouchbaseReactiveRepositoriesAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.couchbase.client.java.Cluster' 
[2022-09-06 22:42:47.509] [39mTRACE[0;39m o.s.b.a.condition.OnClassCondition [main] - Condition OnClassCondition on org.springframework.boot.autoconfigure.data.couchbase.CouchbaseRepositoriesAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'com.couchbase.client.java.Bucket' 
[2022-09-06 22:42:47.509] [39mTRACE[0;39m o.s.b.a.condition.OnClassCondition [main] - Condition OnClassCondition on org.springframework.boot.autoconfigure.data.elasticsearch.ElasticsearchDataAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'org.springframework.data.elasticsearch.core.ElasticsearchRestTemplate' 
[2022-09-06 22:42:47.509] [39mTRACE[0;39m o.s.b.a.condition.OnClassCondition [main] - Condition OnClassCondition on org.springframework.boot.autoconfigure.data.elasticsearch.ElasticsearchRepositoriesAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'org.elasticsearch.client.Client' 
[2022-09-06 22:42:47.509] [39mTRACE[0;39m o.s.b.a.condition.OnClassCondition [main] - Condition OnClassCondition on org.springframework.boot.autoconfigure.data.elasticsearch.ReactiveElasticsearchRepositoriesAutoConfiguration did not match due to @ConditionalOnClass did not find required class 'org.springframework.data.elasticsearch.client.reactive.ReactiveElasticsearchClient' 
